Symbol      Count    Huffman code
x              33       111111111
A              11      1111100110
E              33        10001010
C               2   1111111011011
h              23       111111100
Q               9      1111100100
I               5     11111001011
H               3    111111101100
U               2    111110010100
3               6     11111001111
V               1   1111111011010


Symbol      Count    Huffman code
--------  -------  --------------
L               1       111000010
o              25            1101
r              20            0110
e              30            1111
m              15           11101
               49             101
i              20            0111
p               9           01010
s              24            1001
u              32             000
d               9           01001
l              16            0010
t              24            1000
a              24            1100
.               3         0101110
R               1        01011010
f               1        01011011
g               1        11100000
n              17            0011
q               9           01000
v               4         1110001
b               3         0101111
c               8          111001
?               1       111000011
N               1        01011000
S               1        01011001
L               1      1110010110
o              56            0111
r              40            0000
e              87             001
m              45            0101
              139             101
i              70            1100
p              17          011011
s              59            1000
u              78            1111
d              21           00010
l              39           11101
t              71            1101
a              64            1001
.               8         0110101
R               1       000110000
f               6         0001111
g               2       111001010
n              44            0100
q              18          111000
v              10         1110011
b               7         0110100
c              24           01100
?               2       111001000
N               2        00011001
S               1      1110010111
                3        00011100
x               3        00011011
A               1      1110010010
E               3        00011010
C               1      1110010011
h               3        00011101
Q               1       000110001
L               1    010111001110
o             198            0110
r             133           11000
e             328             000
m             161            0100
              545             101
i             339             001
p              86          111111
s             229            0111
u             285            1101
d             110           10000
l             141           11001
t             289            1110
a             257            1001
.              29         1000100
R               1     01011100100
f              16        10001100
g              17        10001101
n             150           11110
q              74          111110
v              45          010110
b              35         1000111
c              90           01010
?               6       010111110
N               4      1000101100
S               5       010111000
               10        01011101
x              14        10001010
A               7       010111111
E              12        01011110
C               1    010111001111
h               8       100010111
Q               4      1000101101
I               1     01011100101
H               1     01011100110
L               1   1111100101010
o             479            0110
r             342           11101
e             780             001
m             381            0100
             1277             101
i             775             000
p             218           01011
s             541            0111
u             642            1100
d             261           10000
l             325           11100
t             660            1101
a             612            1001
.              67         1000100
R               1   1111100101011
f              36        10001011
g              40        11111000
n             346           11110
q             162          100011
v              94         1111110
b              84         1111101
c             206           01010
?              13      1111111010
N               6     11111001110
S               8     11111110111
               27       111111110
x              33       111111111
A              11      1111100110
E              33        10001010
C               2   1111111011011
h              23       111111100
Q               9      1111100100
I               5     11111001011
H               3    111111101100
U               2    111110010100
3               6     11111001111
V               1   1111111011010
L               1   0101011100100
o             893            0110
r             661           11110
e            1502             001
m             698           11111
             2420             101
i            1457             000
p             398           01001
s             997            0111
u            1200            1100
d             506           10000
l             577           11010
t            1242            1110
a            1135            1001
.             128         1000100
R               2    010101110000
f              87         0100011
g              79        10001011
n             657           11011
q             301          100011
v             187          010100
b             154          010000
c             424           01011
?              22       010001011
N              10      0100010100
S              15      0101011101
               53        01010101
x              59        01010110
A              27       010101001
E              63        10001010
C               2   0101011100101
h              42        01000100
Q              17      0101011111
I              11      0100010101
H               4    010101110011
U               8     01010111101
3              24       010101000
V               3    010101110001
!               8     01010111100


